0
{'Topic - concise(1,NaN)': 0.6, 'Topic - broken down (1,NaN)': 0.75, '1 Goal (1,NaN)': 0.45, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.4, 'AI role play (1,NaN)': 0.55, 'Role form/context(1,NaN)': 0.6, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.35, 'Complex sentence structure (1,NaN)': 0.45, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.3, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.65, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.5, 'run': 'output\\chatgpt_evaluation_log_2shots.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.45, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-012540.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-012956.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.6, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-013410.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.7, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-013823.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.75, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.4, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.7, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-014238.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.4, 'Meta Process-related (1,NaN)': 0.65, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.45, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.7, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-014653.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.25, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.45, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.75, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-132103.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.5, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.5, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.7, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-132518.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.5, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.8, 'Feature 2: ConditionStop-FlippedPattern': 0.75, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-132932.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.45, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.6, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-133349.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.3, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.5, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.5, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.55, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-133806.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.5, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-134220.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.25, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.7, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.5, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.55, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.75, 'Feature 3: Form-FlippedPattern:': 0.75, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-134635.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.25, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.5, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.6, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.75, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.75, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-135052.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.25, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.5, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.75, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-135507.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.7, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.65, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.8, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-135922.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_20230923-140337.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-073825.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.75, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-074239.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.8, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-074652.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.75, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-075106.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.7, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.5, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.5, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-075518.tsv'}
{'Topic - concise(1,NaN)': 0.8, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.5, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-075931.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.7, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.85, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-080345.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-080759.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.6, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-081212.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.7, 'Complex sentence structure (1,NaN)': 0.75, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 1.0, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.8, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_3_features_file_features_new_annotation_file_new_majority_annotations_20230924-081627.tsv'}
